"Page Title:","Home | University of Illinois Urbana-Champaign"
"Page URL:","https://illinois.edu/"
"Date:","2022-08-29"
"Time:","14:17:25"
"Source:","AInspector 2.1.beta1"


"Rule ID","COLOR 1"
"Summary","Text must exceed CCR threshold"
"Definition","Text content must exceed Color Contrast Ratio (CCR) of 3.1 for large and/or bolded text and 4.5 for any other size or style of text."
"WCAG Success Criteria","Success Criterion 1.4.3 Contrast (Minimum) (Primary)"
"Compliance","WCAG Level AA, Required"
"Rule Scope","element"

"Number of results with"
"Violations","3"
"Warnings","0"
"Manual Checks","0"
"Passed","262"
"Hidden","92"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","color contrast ratio","color","color hex","background color","background color hex","font family","font size","font weight","large font","background image","background repeat","background position","href","tabindex","class","onclick","style","target","id","for","rel","aria-label"
"h3","P","2","653","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Explore Vision 2030, a seven-year plan to enhance global learning & engagement","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","655","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","658","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","664","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","669","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"a","P","2","672","link","CCR of 8.6 exceeds 3.1 for large or bolded text.","More Featured Content","contents","8.6","rgb(255, 255, 255)","#ffffff","rgb(68, 77, 86)","#444d56","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://blogs.illinois.edu/view/6231","","button-closed-dark","ga('send', 'event', { eventCategory: 'button', eventAction: 'click', eventLabel: 'more featured content'});","font-size: 100%;","","","","",""
"span","P","2","675","generic","CCR of 16.3 exceeds 4.5.","","none","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","text-underline","","","","","","",""
"a","P","2","678","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Agriculture","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=361","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'agriculture'});","","","","","",""
"a","P","2","680","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Arts","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=362","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'arts'});","","","","","",""
"a","P","2","682","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Business","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=363","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'business'});","","","","","",""
"a","P","2","684","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Campus","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/viewCategory/6367?ACTION=POST_LIST&queryCategory=546&queryCategory=548&queryCategory=549&queryCategory=550&queryCategory=551&queryCategory=552","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'campus'});","","","","","",""
"a","P","2","686","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Education","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=365","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'education'});","","","","","",""
"a","P","2","688","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Engineering","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=366","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'engineering'});","","","","","",""
"a","P","2","690","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Health","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=367","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'health'});","","","","","",""
"a","P","2","692","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Humanities","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=368","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'humanities'});","","","","","",""
"a","P","2","694","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Law","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=369","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'law'});","","","","","",""
"a","P","2","696","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Life Sciences","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=370","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'life sciences'});","","","","","",""
"a","P","2","698","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Physical Sciences","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=371","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'physical sciences'});","","","","","",""
"a","P","2","700","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Social Sciences","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=372","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'social sciences'});","","","","","",""
"a","P","2","702","link","CCR of 16.3 exceeds 3.1 for large or bolded text.","Veterinary Medicine","contents","16.3","rgb(68, 77, 86)","#14171a","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","https://news.illinois.edu/view/6367?ACTION=POST_LIST&queryCategory=373","","","ga('send', 'event', { eventCategory: 'news topic', eventAction: 'click', eventLabel: 'veterinary medicine'});","","","","","",""
"div","P","2","716","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255,255,255)","#ffffff","proxima-nova-alt, sans-serif","14","600","no","none","repeat","0% 0%","","","edu-il-ws-7-1-time","","","","","","",""
"a","P","2","718","link","CCR of 11.4 exceeds 4.5.","Welcome Black BBQ","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255,255,255)","#ffffff","ff-meta-serif-web-pro, Georgia, serif","16","400","no","none","repeat","0% 0%","https://calendars.illinois.edu/detail/7/33434728","","","if(typeof(_gaq) != 'undefined' && _gaq != null) {_gaq.push(['_trackPageview', '/ws/calendar/7/1/33434728']);};","","_blank","","","",""
"div","P","2","721","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255,255,255)","#ffffff","proxima-nova-alt, sans-serif","14","600","no","none","repeat","0% 0%","","","edu-il-ws-7-1-time","","","","","","",""
"a","P","2","723","link","CCR of 11.4 exceeds 4.5.","Fall 2022 Public Opening Night Reception","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255,255,255)","#ffffff","ff-meta-serif-web-pro, Georgia, serif","16","400","no","none","repeat","0% 0%","https://calendars.illinois.edu/detail/7/33434498","","","if(typeof(_gaq) != 'undefined' && _gaq != null) {_gaq.push(['_trackPageview', '/ws/calendar/7/1/33434498']);};","","_blank","","","",""
"div","P","2","726","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255,255,255)","#ffffff","proxima-nova-alt, sans-serif","14","600","no","none","repeat","0% 0%","","","edu-il-ws-7-1-time","","","","","","",""
"a","P","2","728","link","CCR of 11.4 exceeds 4.5.","Labor Day","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255,255,255)","#ffffff","ff-meta-serif-web-pro, Georgia, serif","16","400","no","none","repeat","0% 0%","https://calendars.illinois.edu/detail/7/33406696","","","if(typeof(_gaq) != 'undefined' && _gaq != null) {_gaq.push(['_trackPageview', '/ws/calendar/7/1/33406696']);};","","_blank","","","",""
"div","P","2","731","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255,255,255)","#ffffff","proxima-nova-alt, sans-serif","14","600","no","none","repeat","0% 0%","","","edu-il-ws-7-1-time","","","","","","",""
"a","P","2","733","link","CCR of 11.4 exceeds 4.5.","Talbot Laboratory Annex Dedication and Open House","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255,255,255)","#ffffff","ff-meta-serif-web-pro, Georgia, serif","16","400","no","none","repeat","0% 0%","https://calendars.illinois.edu/detail/7/33434269","","","if(typeof(_gaq) != 'undefined' && _gaq != null) {_gaq.push(['_trackPageview', '/ws/calendar/7/1/33434269']);};","","_blank","","","",""
"a","P","2","736","link","CCR of 8.6 exceeds 3.1 for large or bolded text.","All campus calendars """"","contents","8.6","rgb(68, 77, 86)","#444d56","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","700","Yes","none","repeat","0% 0%","resources/calendars.html","","","","","","","","",""
"h1","P","2","740","heading","CCR of 18 exceeds 4.5.","Colleges, Schools & Institutes","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","15","600","no","none","repeat","0% 0%","","","heading-button color-alt clear-margin button-expand","","","","home-academics","","",""
"a","P","2","743","link","CCR of 18 exceeds 3.1 for large or bolded text.","Agricultural, Consumer and Environmental Sciences","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://aces.illinois.edu/","","","","","","","","",""
"a","P","2","745","link","CCR of 18 exceeds 3.1 for large or bolded text.","Applied Health Sciences","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","http://www.ahs.illinois.edu","","","","","","","","",""
"a","P","2","747","link","CCR of 18 exceeds 3.1 for large or bolded text.","Beckman Institute for Advanced Science and Technology","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://beckman.illinois.edu/","","","","","","","","",""
"a","P","2","749","link","CCR of 18 exceeds 3.1 for large or bolded text.","Cancer Center at Illinois","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://cancer.illinois.edu/","","","","","","","","",""
"a","P","2","751","link","CCR of 18 exceeds 3.1 for large or bolded text.","Carl R. Woese Institute for Genomic Biology","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://www.igb.illinois.edu/","","","","","","","","",""
"a","P","2","753","link","CCR of 18 exceeds 3.1 for large or bolded text.","Carle Illinois College of Medicine","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://medicine.illinois.edu","","","","","","","","",""
"a","P","2","755","link","CCR of 18 exceeds 3.1 for large or bolded text.","Center for Social & Behavioral Science","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://csbs.research.illinois.edu/","","","","","","","","",""
"a","P","2","757","link","CCR of 18 exceeds 3.1 for large or bolded text.","Fine and Applied Arts","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://faa.illinois.edu","","","","","","","","",""
"a","P","2","759","link","CCR of 18 exceeds 3.1 for large or bolded text.","General Studies","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://dgs.illinois.edu","","","","","","","","",""
"a","P","2","761","link","CCR of 18 exceeds 3.1 for large or bolded text.","Gies College of Business","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://giesbusiness.illinois.edu/","","","","","","","","",""
"a","P","2","763","link","CCR of 18 exceeds 3.1 for large or bolded text.","Graduate College","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://grad.illinois.edu","","","","","","","","",""
"a","P","2","765","link","CCR of 18 exceeds 3.1 for large or bolded text.","The Grainger College of Engineering","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://grainger.illinois.edu/","","","","","","","","",""
"a","P","2","767","link","CCR of 18 exceeds 3.1 for large or bolded text.","Humanities Research Institute","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://www.iprh.illinois.edu/","","","","","","","","",""
"a","P","2","769","link","CCR of 18 exceeds 3.1 for large or bolded text.","Information Sciences","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://ischool.illinois.edu/","","","","","","","","",""
"a","P","2","771","link","CCR of 18 exceeds 3.1 for large or bolded text.","Institute for Sustainability, Energy, and Environment","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://sustainability.illinois.edu/","","","","","","","","",""
"a","P","2","773","link","CCR of 18 exceeds 3.1 for large or bolded text.","Interdisciplinary Health Sciences Institute","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://healthinstitute.illinois.edu/","","","","","","","","",""
"a","P","2","775","link","CCR of 18 exceeds 3.1 for large or bolded text.","Labor and Employment Relations","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://ler.illinois.edu","","","","","","","","",""
"a","P","2","777","link","CCR of 18 exceeds 3.1 for large or bolded text.","Law","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://law.illinois.edu","","","","","","","","",""
"a","P","2","779","link","CCR of 18 exceeds 3.1 for large or bolded text.","Liberal Arts and Sciences","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://las.illinois.edu","","","","","","","","",""
"a","P","2","781","link","CCR of 18 exceeds 3.1 for large or bolded text.","Media","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://media.illinois.edu","","","","","","","","",""
"a","P","2","783","link","CCR of 18 exceeds 3.1 for large or bolded text.","National Center for Supercomputing Applications","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://www.ncsa.illinois.edu/","","","","","","","","",""
"a","P","2","785","link","CCR of 18 exceeds 3.1 for large or bolded text.","Prairie Research Institute","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://prairie.illinois.edu/","","","","","","","","",""
"a","P","2","787","link","CCR of 18 exceeds 3.1 for large or bolded text.","Social Work","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://socialwork.illinois.edu","","","","","","","","",""
"a","P","2","789","link","CCR of 18 exceeds 3.1 for large or bolded text.","Veterinary Medicine","contents","18","rgb(68, 77, 86)","#14171a","rgb(255,255,255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","https://vetmed.illinois.edu","","","","","","","","",""
"h2","P","2","794","heading","CCR of 14.6 exceeds 4.5.","Quicklinks","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","700","no","none","repeat","0% 0%","","","footer-menu-resources-header","","","","","","",""
"a","P","2","797","link","CCR of 10.4 exceeds 4.5.","Calendars","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/resources/calendars.html","","","","","","","","",""
"a","P","2","799","link","CCR of 10.4 exceeds 4.5.","Directory","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://directory.illinois.edu/search","","","","","","","","",""
"a","P","2","801","link","CCR of 10.4 exceeds 4.5.","Campus Map","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://illinois.edu/map/view","","","","","","","","",""
"a","P","2","803","link","CCR of 10.4 exceeds 4.5.","Email","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://answers.uillinois.edu/illinois/47881","","","","","","","","",""
"a","P","2","805","link","CCR of 10.4 exceeds 4.5.","Weather","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://www.atmos.illinois.edu/go/wx","","","","","","","","",""
"a","P","2","807","link","CCR of 10.4 exceeds 4.5.","Giving","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://giving.illinois.edu/","","","","","","","","",""
"a","P","2","809","link","CCR of 10.4 exceeds 4.5.","Student Grievances","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://provost.illinois.edu/student-consumer-information/student-complaint-process/","","","","","","","","",""
"a","P","2","811","link","CCR of 10.4 exceeds 4.5.","Contact","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/resources/contact.html","","","","","","","","",""
"h2","P","2","813","heading","CCR of 14.6 exceeds 4.5.","Resources for","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","700","no","none","repeat","0% 0%","","","footer-menu-resources-header","","","","","","",""
"a","P","2","816","link","CCR of 10.4 exceeds 4.5.","Current Students","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/students/index.html","","","","","","","","",""
"a","P","2","818","link","CCR of 10.4 exceeds 4.5.","Prospective Students","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/students/prospective.html","","","","","","","","",""
"a","P","2","820","link","CCR of 10.4 exceeds 4.5.","Faculty & Staff","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/facultystaff/index.html","","","","","","","","",""
"a","P","2","822","link","CCR of 10.4 exceeds 4.5.","Alumni","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/alumni/index.html","","","","","","","","",""
"a","P","2","824","link","CCR of 10.4 exceeds 4.5.","Parents","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/parents/index.html","","","","","","","","",""
"h2","P","2","826","heading","CCR of 14.6 exceeds 4.5.","Campus Resources","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","700","no","none","repeat","0% 0%","","","footer-menu-resources-header","","","","","","",""
"a","P","2","829","link","CCR of 10.4 exceeds 4.5.","The Next 150 Strategic Plan","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://strategicplan.illinois.edu/","","","","","","","","",""
"a","P","2","831","link","CCR of 10.4 exceeds 4.5.","Diversity Resources","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://diversity.illinois.edu/","","","","","","","","",""
"a","P","2","833","link","CCR of 10.4 exceeds 4.5.","Emergency Info","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/resources/emergency.html","","","","","","","","",""
"a","P","2","835","link","CCR of 10.4 exceeds 4.5.","Land Acknowledgement Statement","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://chancellor.illinois.edu/land_acknowledgement.html","","","","","","","","",""
"a","P","2","837","link","CCR of 10.4 exceeds 4.5.","Organizational Chart","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://chancellor.illinois.edu/files/administrative_officers/campus-org-chart.pdf","","","","","","","","",""
"a","P","2","839","link","CCR of 10.4 exceeds 4.5.","University Policies","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://uillinois.edu/about/policies","","","","","","","","",""
"a","P","2","841","link","CCR of 10.4 exceeds 4.5.","Employment","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","/resources/employment.html","","","","","","","","",""
"h2","P","2","843","heading","CCR of 14.6 exceeds 4.5.","U of I System","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","700","no","none","repeat","0% 0%","","","footer-menu-resources-header","","","","","","",""
"a","P","2","846","link","CCR of 10.4 exceeds 4.5.","System Offices","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://www.uillinois.edu/","","","","","","","","",""
"a","P","2","848","link","CCR of 10.4 exceeds 4.5.","UIC","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","http://uic.edu/","","","","","","","","",""
"a","P","2","850","link","CCR of 10.4 exceeds 4.5.","UIS","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://uis.edu/","","","","","","","","",""
"a","P","2","852","link","CCR of 10.4 exceeds 4.5.","U of I Online","contents","10.4","rgb(212, 218, 221)","#d4dadd","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","16","400","no","none","repeat","0% 0%","https://www.online.uillinois.edu/","","","","","","","","",""
"a","P","2","862","link","CCR of 14.6 exceeds 4.5.","Copyright","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","15","600","no","none","repeat","0% 0%","resources/website/copyright.html","","","","","","","","",""
"a","P","2","864","link","CCR of 14.6 exceeds 4.5.","Accessibility","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","15","600","no","none","repeat","0% 0%","resources/website/accessibility.html","","","","","","","","",""
"a","P","2","866","link","CCR of 14.6 exceeds 4.5.","Privacy Statement and Terms of Use","contents","14.6","rgb(255, 255, 255)","#ffffff","rgb(0, 40, 85)","#002855","""proxima-nova-alt"", sans-serif","15","600","no","none","repeat","0% 0%","https://www.vpaa.uillinois.edu/resources/web_privacy","","","","","","","","",""
